PopSize;MaxEvals;CrossProb;AvgProfit;StdProfit;AvgDiversity;StdDiversity;AvgTime;StdTime
50;10000;0.80;1215851282.0871;39213914.6957;0.8551;0.0172;609.90;277.95
50;10000;0.90;1208980078.6852;41497518.4506;0.8559;0.0187;524.10;54.68
50;10000;1.00;1188913399.4585;58501706.5487;0.8545;0.0157;529.60;58.11
50;25000;0.80;1305570455.4358;57610273.2010;0.8797;0.0132;1185.30;108.37
50;25000;0.90;1275971439.7544;31478786.5771;0.8705;0.0163;1224.90;110.11
50;25000;1.00;1264117992.8962;30908513.6989;0.8910;0.0105;1202.00;72.36
50;50000;0.80;1347713563.4405;54863224.7732;0.8940;0.0131;2271.30;161.14
50;50000;0.90;1348167767.0937;33046423.7395;0.8871;0.0133;2383.60;189.14
50;50000;1.00;1328404855.9942;50448671.4179;0.8923;0.0158;2441.60;135.63
100;10000;0.80;1247360115.0667;47762003.8738;0.8636;0.0100;625.20;48.11
100;10000;0.90;1205411808.7393;107396015.1347;0.8494;0.0157;659.30;51.28
100;10000;1.00;1192213711.8023;92930470.5426;0.8618;0.0182;680.30;61.50
100;25000;0.80;1280247013.3531;58617268.6117;0.8729;0.0163;1435.30;100.98
100;25000;0.90;1257641376.6253;52242069.0266;0.8588;0.0151;1570.10;130.55
100;25000;1.00;1223995615.4524;72706975.6963;0.8720;0.0117;1593.40;160.48
100;50000;0.80;1326631555.9526;54838782.1971;0.8953;0.0186;3003.80;250.67
100;50000;0.90;1310074318.4853;96399212.7649;0.8915;0.0158;3147.00;419.96
100;50000;1.00;1320921171.2538;50488153.8960;0.8859;0.0260;3121.00;275.25
200;10000;0.80;1164634139.1281;106966604.6285;0.8443;0.0142;910.70;38.59
200;10000;0.90;1171468926.5115;56229275.1972;0.8446;0.0147;964.60;61.41
200;10000;1.00;1151582463.7533;65021803.7431;0.8340;0.0100;1113.60;93.62
200;25000;0.80;1277337183.7207;87710841.4994;0.8712;0.0125;2143.00;149.83
200;25000;0.90;1218084688.9042;54743429.0322;0.8845;0.0092;2190.80;202.09
200;25000;1.00;1276921251.5386;82060868.8776;0.8746;0.0225;2327.80;116.51
200;50000;0.80;1279880846.3893;65959347.7260;0.8898;0.0146;4049.90;330.61
200;50000;0.90;1284345553.8907;67203937.2311;0.8816;0.0105;4253.00;361.84
200;50000;1.00;1254950102.9019;84866140.4867;0.8932;0.0129;4345.10;381.26
